Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0001_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0002_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0003_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0004_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0005_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0006_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0007_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0008_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0009_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0010_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0011_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0012_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0013_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0014_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0015_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0016_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0017_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0018_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0019_MCQ_Qns,1
Q-Setter,P3,1,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0020_MCQ_Qns,1
Q-Setter,P3,2,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0021_MCQ_Qns,1
Q-Setter,P3,2,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0022_MCQ_Qns,1
Q-Setter,P3,2,A, Numbers, Numbers up to 10 000,PMA_Qsetter_P3_0_0023_MCQ_Qns,1
